codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
16-01-0922-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,"3A. Avenida 5-12, Zona 4", 3385-7209,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0926-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educación Diversificada,2A. Calle 1-99 Zona 4 Coban, 3362-2052,Nora Liliana Figueroa Hernández,Selvin Edder Hernández Molina,Diversificado,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario(Regular),Alta Verapaz
16-01-0927-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educación Diversificada,2A. Calle 1-99 Zona 4, 3362-2052,Nora Liliana Figueroa Hernández,Selvin Edder Hernández Molina,Diversificado,Oficial,Urbana,Abierta,Monolingue,Nocturna,Diario(Regular),Alta Verapaz
16-01-0986-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,"2A. Calle 8-18 Zona 4, Coban", 4111-4848,Patricio Najarro Asencio,Zuly Beatriz López Winter,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0987-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,"2A. Calle 8-18 Zona 4, Coban", 4111-4848,Patricio Najarro Asencio,Zuly Beatriz López Winter,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Fin De Semana),Alta Verapaz
16-01-0990-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4", 3705-8145,Patricio Najarro Asencio,Henri Marco Artola Teyul,Diversificado,Privado,Urbana,Abierta,Monolingue,Sin Jornada,Semipresencial (Un Día A La Semana),Alta Verapaz
16-01-0991-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4", 3705-8145,Patricio Najarro Asencio,Henri Marco Artola Teyul,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0994-46,16-050,Alta Verapaz,Coban,Centro De Educación Extraescolar -Ceex-,Barrio Chivencorral Zona 12, 4997-2934,Maximiliano Chub Ical,Henrry Alexander De Los Santos Mutz,Diversificado,Oficial,Urbana,Abierta,Monolingue,Doble,Diario(Regular),Alta Verapaz
16-01-0997-46,16-004,Alta Verapaz,Coban,Centro Educativo Betania,San Benito I, 4218-3442,Aquiles Giovani Bac Guevara,Sandra Julieta Pérez Ramos,Diversificado,Privado,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-1001-46,16-031,Alta Verapaz,Coban,Liceo Dr. Ricardo Bressani,1A. Avenida 5-56 Zona 2, 7952-1633,Patricio Najarro Asencio,Belsy Claribel Santisteban Archila,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Virtual A Distancia,Alta Verapaz
